,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
248,The 10th Circuit has denied KSU's petitions to rehear its motion to dismiss our lawsuit that claims KSU officials f… https://t.co/uqdrIpYknn,FALSE,1,NA,4/25/2019 14:56,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tfnlgroup,1,FALSE,FALSE,NA,NA
249,RT @itsbecrose: I just wanna take a sec to reiterate... This man's son was expelled from university for sexual misconduct so he formed a da…,FALSE,0,NA,4/25/2019 14:50,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jessprcollis,1,TRUE,FALSE,NA,NA
250,Y’all like that? https://t.co/JXGAdSJWZ5,FALSE,10,NA,4/25/2019 14:45,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TitleIX_lmao,0,FALSE,FALSE,NA,NA
251,I just wanna take a sec to reiterate... This man's son was expelled from university for sexual misconduct so he for… https://t.co/HTST2J5yeF,FALSE,6,NA,4/25/2019 14:44,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",itsbecrose,1,FALSE,FALSE,NA,NA
252,"‘#Empowerment Self-Defense’ Programs Make Women Safer. Why Don’t  More Colleges Use Them? Great question, especiall… https://t.co/jwySxJTSYJ",FALSE,0,NA,4/25/2019 14:16,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CofRespect,0,FALSE,FALSE,NA,NA
253,#TitleIX Coordinators are a non-negotiable if we're going to have safe schools in NYC. Join us on 4/30 as we ask… https://t.co/mZXvD4vBiU,FALSE,6,NA,4/25/2019 14:13,TRUE,NA,1.12E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",GGENYC,3,FALSE,FALSE,NA,NA
254,@WomensLawProj files an #amicus brief in support of the Boyertown policy that argues that the presence of… https://t.co/IyiwS69tKX,FALSE,1,WomensLawProj,4/25/2019 14:10,TRUE,NA,1.12E+18,36070003,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",DMProBono,0,FALSE,FALSE,NA,NA
255,Lobbyist’s crusade to change Title IX in Missouri stems from his son’s expulsion #politics #titleix https://t.co/1gPMbba9Mz,FALSE,0,NA,4/25/2019 13:55,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LoriRobinett,0,FALSE,FALSE,NA,NA
256,RT @kathyluwho: Nothing to see here. Just a lobbyist dad -- whose son was expelled from college through #TitleIX process -- who started a d…,FALSE,0,NA,4/25/2019 13:52,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0jen0jen,10,TRUE,FALSE,NA,NA
257,"Rounding back to the attack on #TitleIX in Missouri - of it’s in #MOLEG, OF COURSE it’s personal. @ClaraJeffery 
https://t.co/1KEzo3eHFT",FALSE,0,NA,4/25/2019 13:27,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JForTheMoney,0,FALSE,FALSE,NA,NA
258,"While non-precedential, 4th Cir's per curiam opinion joins 2d Cir. (https://t.co/U7cdvedaHc) and NY Ct App (… https://t.co/01FWZiqpbH",FALSE,2,SUNYSCI,4/25/2019 13:20,TRUE,1.12E+18,1.12E+18,1.10E+18,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SUNYSCI,1,FALSE,FALSE,NA,NA
